emoji,short_name,codepoints,keywords,category,subcategory,sort_order
👩🏾‍🫯‍👩🏼,women_wrestling_medium_dark_skin_tone_medium_light_skin_tone,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FC,women wrestling medium dark skin tone light,People & Body,person-sport,2151
👩🏾‍🫯‍👩🏽,women_wrestling_medium_dark_skin_tone_medium_skin_tone,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FD,women wrestling medium dark skin tone,People & Body,person-sport,2152
👩🏾‍🫯‍👩🏿,women_wrestling_medium_dark_skin_tone_dark_skin_tone,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FF,women wrestling medium dark skin tone,People & Body,person-sport,2153
👩🏿‍🫯‍👩🏻,women_wrestling_dark_skin_tone_light_skin_tone,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FB,women wrestling dark skin tone light,People & Body,person-sport,2154
👩🏿‍🫯‍👩🏼,women_wrestling_dark_skin_tone_medium_light_skin_tone,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FC,women wrestling dark skin tone medium light,People & Body,person-sport,2155
👩🏿‍🫯‍👩🏽,women_wrestling_dark_skin_tone_medium_skin_tone,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FD,women wrestling dark skin tone medium,People & Body,person-sport,2156
👩🏿‍🫯‍👩🏾,women_wrestling_dark_skin_tone_medium_dark_skin_tone,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FE,women wrestling dark skin tone medium,People & Body,person-sport,2157
🤽,person_playing_water_polo,1F93D,person playing water polo,People & Body,person-sport,2158
🤽🏻,person_playing_water_polo_light_skin_tone,1F93D 1F3FB,person playing water polo light skin tone,People & Body,person-sport,2159
🤽🏼,person_playing_water_polo_medium_light_skin_tone,1F93D 1F3FC,person playing water polo medium light skin tone,People & Body,person-sport,2160
🤽🏽,person_playing_water_polo_medium_skin_tone,1F93D 1F3FD,person playing water polo medium skin tone,People & Body,person-sport,2161
🤽🏾,person_playing_water_polo_medium_dark_skin_tone,1F93D 1F3FE,person playing water polo medium dark skin tone,People & Body,person-sport,2162
🤽🏿,person_playing_water_polo_dark_skin_tone,1F93D 1F3FF,person playing water polo dark skin tone,People & Body,person-sport,2163
🤽‍♂️,man_playing_water_polo,1F93D 200D 2642 FE0F,man playing water polo,People & Body,person-sport,2164
🤽🏻‍♂️,man_playing_water_polo_light_skin_tone,1F93D 1F3FB 200D 2642 FE0F,man playing water polo light skin tone,People & Body,person-sport,2165
🤽🏼‍♂️,man_playing_water_polo_medium_light_skin_tone,1F93D 1F3FC 200D 2642 FE0F,man playing water polo medium light skin tone,People & Body,person-sport,2166
🤽🏽‍♂️,man_playing_water_polo_medium_skin_tone,1F93D 1F3FD 200D 2642 FE0F,man playing water polo medium skin tone,People & Body,person-sport,2167
🤽🏾‍♂️,man_playing_water_polo_medium_dark_skin_tone,1F93D 1F3FE 200D 2642 FE0F,man playing water polo medium dark skin tone,People & Body,person-sport,2168
🤽🏿‍♂️,man_playing_water_polo_dark_skin_tone,1F93D 1F3FF 200D 2642 FE0F,man playing water polo dark skin tone,People & Body,person-sport,2169
🤽‍♀️,woman_playing_water_polo,1F93D 200D 2640 FE0F,woman playing water polo,People & Body,person-sport,2170
🤽🏻‍♀️,woman_playing_water_polo_light_skin_tone,1F93D 1F3FB 200D 2640 FE0F,woman playing water polo light skin tone,People & Body,person-sport,2171
🤽🏼‍♀️,woman_playing_water_polo_medium_light_skin_tone,1F93D 1F3FC 200D 2640 FE0F,woman playing water polo medium light skin tone,People & Body,person-sport,2172
🤽🏽‍♀️,woman_playing_water_polo_medium_skin_tone,1F93D 1F3FD 200D 2640 FE0F,woman playing water polo medium skin tone,People & Body,person-sport,2173
🤽🏾‍♀️,woman_playing_water_polo_medium_dark_skin_tone,1F93D 1F3FE 200D 2640 FE0F,woman playing water polo medium dark skin tone,People & Body,person-sport,2174
🤽🏿‍♀️,woman_playing_water_polo_dark_skin_tone,1F93D 1F3FF 200D 2640 FE0F,woman playing water polo dark skin tone,People & Body,person-sport,2175
🤾,person_playing_handball,1F93E,person playing handball,People & Body,person-sport,2176
🤾🏻,person_playing_handball_light_skin_tone,1F93E 1F3FB,person playing handball light skin tone,People & Body,person-sport,2177
🤾🏼,person_playing_handball_medium_light_skin_tone,1F93E 1F3FC,person playing handball medium light skin tone,People & Body,person-sport,2178
🤾🏽,person_playing_handball_medium_skin_tone,1F93E 1F3FD,person playing handball medium skin tone,People & Body,person-sport,2179
🤾🏾,person_playing_handball_medium_dark_skin_tone,1F93E 1F3FE,person playing handball medium dark skin tone,People & Body,person-sport,2180
🤾🏿,person_playing_handball_dark_skin_tone,1F93E 1F3FF,person playing handball dark skin tone,People & Body,person-sport,2181
🤾‍♂️,man_playing_handball,1F93E 200D 2642 FE0F,man playing handball,People & Body,person-sport,2182
🤾🏻‍♂️,man_playing_handball_light_skin_tone,1F93E 1F3FB 200D 2642 FE0F,man playing handball light skin tone,People & Body,person-sport,2183
🤾🏼‍♂️,man_playing_handball_medium_light_skin_tone,1F93E 1F3FC 200D 2642 FE0F,man playing handball medium light skin tone,People & Body,person-sport,2184
