emoji,short_name,codepoints,keywords,category,subcategory,sort_order
🧑🏿‍🦳,person_dark_skin_tone_white_hair,1F9D1 1F3FF 200D 1F9B3,person dark skin tone white hair,People & Body,person,623
👩‍🦲,woman_bald,1F469 200D 1F9B2,woman bald,People & Body,person,624
👩🏻‍🦲,woman_light_skin_tone_bald,1F469 1F3FB 200D 1F9B2,woman light skin tone bald,People & Body,person,625
👩🏼‍🦲,woman_medium_light_skin_tone_bald,1F469 1F3FC 200D 1F9B2,woman medium light skin tone bald,People & Body,person,626
👩🏽‍🦲,woman_medium_skin_tone_bald,1F469 1F3FD 200D 1F9B2,woman medium skin tone bald,People & Body,person,627
👩🏾‍🦲,woman_medium_dark_skin_tone_bald,1F469 1F3FE 200D 1F9B2,woman medium dark skin tone bald,People & Body,person,628
👩🏿‍🦲,woman_dark_skin_tone_bald,1F469 1F3FF 200D 1F9B2,woman dark skin tone bald,People & Body,person,629
🧑‍🦲,person_bald,1F9D1 200D 1F9B2,person bald,People & Body,person,630
🧑🏻‍🦲,person_light_skin_tone_bald,1F9D1 1F3FB 200D 1F9B2,person light skin tone bald,People & Body,person,631
🧑🏼‍🦲,person_medium_light_skin_tone_bald,1F9D1 1F3FC 200D 1F9B2,person medium light skin tone bald,People & Body,person,632
🧑🏽‍🦲,person_medium_skin_tone_bald,1F9D1 1F3FD 200D 1F9B2,person medium skin tone bald,People & Body,person,633
🧑🏾‍🦲,person_medium_dark_skin_tone_bald,1F9D1 1F3FE 200D 1F9B2,person medium dark skin tone bald,People & Body,person,634
🧑🏿‍🦲,person_dark_skin_tone_bald,1F9D1 1F3FF 200D 1F9B2,person dark skin tone bald,People & Body,person,635
👱‍♀️,woman_blond_hair,1F471 200D 2640 FE0F,woman blond hair,People & Body,person,636
👱🏻‍♀️,woman_light_skin_tone_blond_hair,1F471 1F3FB 200D 2640 FE0F,woman light skin tone blond hair,People & Body,person,637
👱🏼‍♀️,woman_medium_light_skin_tone_blond_hair,1F471 1F3FC 200D 2640 FE0F,woman medium light skin tone blond hair,People & Body,person,638
👱🏽‍♀️,woman_medium_skin_tone_blond_hair,1F471 1F3FD 200D 2640 FE0F,woman medium skin tone blond hair,People & Body,person,639
👱🏾‍♀️,woman_medium_dark_skin_tone_blond_hair,1F471 1F3FE 200D 2640 FE0F,woman medium dark skin tone blond hair,People & Body,person,640
👱🏿‍♀️,woman_dark_skin_tone_blond_hair,1F471 1F3FF 200D 2640 FE0F,woman dark skin tone blond hair,People & Body,person,641
👱‍♂️,man_blond_hair,1F471 200D 2642 FE0F,man blond hair,People & Body,person,642
👱🏻‍♂️,man_light_skin_tone_blond_hair,1F471 1F3FB 200D 2642 FE0F,man light skin tone blond hair,People & Body,person,643
👱🏼‍♂️,man_medium_light_skin_tone_blond_hair,1F471 1F3FC 200D 2642 FE0F,man medium light skin tone blond hair,People & Body,person,644
👱🏽‍♂️,man_medium_skin_tone_blond_hair,1F471 1F3FD 200D 2642 FE0F,man medium skin tone blond hair,People & Body,person,645
👱🏾‍♂️,man_medium_dark_skin_tone_blond_hair,1F471 1F3FE 200D 2642 FE0F,man medium dark skin tone blond hair,People & Body,person,646
👱🏿‍♂️,man_dark_skin_tone_blond_hair,1F471 1F3FF 200D 2642 FE0F,man dark skin tone blond hair,People & Body,person,647
🧓,older_person,1F9D3,older person,People & Body,person,648
🧓🏻,older_person_light_skin_tone,1F9D3 1F3FB,older person light skin tone,People & Body,person,649
🧓🏼,older_person_medium_light_skin_tone,1F9D3 1F3FC,older person medium light skin tone,People & Body,person,650
🧓🏽,older_person_medium_skin_tone,1F9D3 1F3FD,older person medium skin tone,People & Body,person,651
🧓🏾,older_person_medium_dark_skin_tone,1F9D3 1F3FE,older person medium dark skin tone,People & Body,person,652
🧓🏿,older_person_dark_skin_tone,1F9D3 1F3FF,older person dark skin tone,People & Body,person,653
👴,old_man,1F474,old man,People & Body,person,654
👴🏻,old_man_light_skin_tone,1F474 1F3FB,old man light skin tone,People & Body,person,655
👴🏼,old_man_medium_light_skin_tone,1F474 1F3FC,old man medium light skin tone,People & Body,person,656
👴🏽,old_man_medium_skin_tone,1F474 1F3FD,old man medium skin tone,People & Body,person,657
👴🏾,old_man_medium_dark_skin_tone,1F474 1F3FE,old man medium dark skin tone,People & Body,person,658
👴🏿,old_man_dark_skin_tone,1F474 1F3FF,old man dark skin tone,People & Body,person,659
👵,old_woman,1F475,old woman,People & Body,person,660
👵🏻,old_woman_light_skin_tone,1F475 1F3FB,old woman light skin tone,People & Body,person,661
👵🏼,old_woman_medium_light_skin_tone,1F475 1F3FC,old woman medium light skin tone,People & Body,person,662
👵🏽,old_woman_medium_skin_tone,1F475 1F3FD,old woman medium skin tone,People & Body,person,663
👵🏾,old_woman_medium_dark_skin_tone,1F475 1F3FE,old woman medium dark skin tone,People & Body,person,664
👵🏿,old_woman_dark_skin_tone,1F475 1F3FF,old woman dark skin tone,People & Body,person,665
🙍,person_frowning,1F64D,person frowning,People & Body,person-gesture,666
🙍🏻,person_frowning_light_skin_tone,1F64D 1F3FB,person frowning light skin tone,People & Body,person-gesture,667
🙍🏼,person_frowning_medium_light_skin_tone,1F64D 1F3FC,person frowning medium light skin tone,People & Body,person-gesture,668
🙍🏽,person_frowning_medium_skin_tone,1F64D 1F3FD,person frowning medium skin tone,People & Body,person-gesture,669
🙍🏾,person_frowning_medium_dark_skin_tone,1F64D 1F3FE,person frowning medium dark skin tone,People & Body,person-gesture,670
🙍🏿,person_frowning_dark_skin_tone,1F64D 1F3FF,person frowning dark skin tone,People & Body,person-gesture,671
🙍‍♂️,man_frowning,1F64D 200D 2642 FE0F,man frowning,People & Body,person-gesture,672
🙍🏻‍♂️,man_frowning_light_skin_tone,1F64D 1F3FB 200D 2642 FE0F,man frowning light skin tone,People & Body,person-gesture,673
🙍🏼‍♂️,man_frowning_medium_light_skin_tone,1F64D 1F3FC 200D 2642 FE0F,man frowning medium light skin tone,People & Body,person-gesture,674
🙍🏽‍♂️,man_frowning_medium_skin_tone,1F64D 1F3FD 200D 2642 FE0F,man frowning medium skin tone,People & Body,person-gesture,675
🙍🏾‍♂️,man_frowning_medium_dark_skin_tone,1F64D 1F3FE 200D 2642 FE0F,man frowning medium dark skin tone,People & Body,person-gesture,676
🙍🏿‍♂️,man_frowning_dark_skin_tone,1F64D 1F3FF 200D 2642 FE0F,man frowning dark skin tone,People & Body,person-gesture,677
🙍‍♀️,woman_frowning,1F64D 200D 2640 FE0F,woman frowning,People & Body,person-gesture,678
🙍🏻‍♀️,woman_frowning_light_skin_tone,1F64D 1F3FB 200D 2640 FE0F,woman frowning light skin tone,People & Body,person-gesture,679
🙍🏼‍♀️,woman_frowning_medium_light_skin_tone,1F64D 1F3FC 200D 2640 FE0F,woman frowning medium light skin tone,People & Body,person-gesture,680
🙍🏽‍♀️,woman_frowning_medium_skin_tone,1F64D 1F3FD 200D 2640 FE0F,woman frowning medium skin tone,People & Body,person-gesture,681
🙍🏾‍♀️,woman_frowning_medium_dark_skin_tone,1F64D 1F3FE 200D 2640 FE0F,woman frowning medium dark skin tone,People & Body,person-gesture,682
🙍🏿‍♀️,woman_frowning_dark_skin_tone,1F64D 1F3FF 200D 2640 FE0F,woman frowning dark skin tone,People & Body,person-gesture,683
🙎,person_pouting,1F64E,person pouting,People & Body,person-gesture,684
🙎🏻,person_pouting_light_skin_tone,1F64E 1F3FB,person pouting light skin tone,People & Body,person-gesture,685
🙎🏼,person_pouting_medium_light_skin_tone,1F64E 1F3FC,person pouting medium light skin tone,People & Body,person-gesture,686
🙎🏽,person_pouting_medium_skin_tone,1F64E 1F3FD,person pouting medium skin tone,People & Body,person-gesture,687
🙎🏾,person_pouting_medium_dark_skin_tone,1F64E 1F3FE,person pouting medium dark skin tone,People & Body,person-gesture,688
🙎🏿,person_pouting_dark_skin_tone,1F64E 1F3FF,person pouting dark skin tone,People & Body,person-gesture,689
🙎‍♂️,man_pouting,1F64E 200D 2642 FE0F,man pouting,People & Body,person-gesture,690
🙎🏻‍♂️,man_pouting_light_skin_tone,1F64E 1F3FB 200D 2642 FE0F,man pouting light skin tone,People & Body,person-gesture,691
🙎🏼‍♂️,man_pouting_medium_light_skin_tone,1F64E 1F3FC 200D 2642 FE0F,man pouting medium light skin tone,People & Body,person-gesture,692
🙎🏽‍♂️,man_pouting_medium_skin_tone,1F64E 1F3FD 200D 2642 FE0F,man pouting medium skin tone,People & Body,person-gesture,693
🙎🏾‍♂️,man_pouting_medium_dark_skin_tone,1F64E 1F3FE 200D 2642 FE0F,man pouting medium dark skin tone,People & Body,person-gesture,694
🙎🏿‍♂️,man_pouting_dark_skin_tone,1F64E 1F3FF 200D 2642 FE0F,man pouting dark skin tone,People & Body,person-gesture,695
🙎‍♀️,woman_pouting,1F64E 200D 2640 FE0F,woman pouting,People & Body,person-gesture,696
🙎🏻‍♀️,woman_pouting_light_skin_tone,1F64E 1F3FB 200D 2640 FE0F,woman pouting light skin tone,People & Body,person-gesture,697
🙎🏼‍♀️,woman_pouting_medium_light_skin_tone,1F64E 1F3FC 200D 2640 FE0F,woman pouting medium light skin tone,People & Body,person-gesture,698
🙎🏽‍♀️,woman_pouting_medium_skin_tone,1F64E 1F3FD 200D 2640 FE0F,woman pouting medium skin tone,People & Body,person-gesture,699
🙎🏾‍♀️,woman_pouting_medium_dark_skin_tone,1F64E 1F3FE 200D 2640 FE0F,woman pouting medium dark skin tone,People & Body,person-gesture,700
🙎🏿‍♀️,woman_pouting_dark_skin_tone,1F64E 1F3FF 200D 2640 FE0F,woman pouting dark skin tone,People & Body,person-gesture,701
🙅,person_gesturing_no,1F645,person gesturing no,People & Body,person-gesture,702
🙅🏻,person_gesturing_no_light_skin_tone,1F645 1F3FB,person gesturing no light skin tone,People & Body,person-gesture,703
🙅🏼,person_gesturing_no_medium_light_skin_tone,1F645 1F3FC,person gesturing no medium light skin tone,People & Body,person-gesture,704
🙅🏽,person_gesturing_no_medium_skin_tone,1F645 1F3FD,person gesturing no medium skin tone,People & Body,person-gesture,705
🙅🏾,person_gesturing_no_medium_dark_skin_tone,1F645 1F3FE,person gesturing no medium dark skin tone,People & Body,person-gesture,706
🙅🏿,person_gesturing_no_dark_skin_tone,1F645 1F3FF,person gesturing no dark skin tone,People & Body,person-gesture,707
🙅‍♂️,man_gesturing_no,1F645 200D 2642 FE0F,man gesturing no,People & Body,person-gesture,708
🙅🏻‍♂️,man_gesturing_no_light_skin_tone,1F645 1F3FB 200D 2642 FE0F,man gesturing no light skin tone,People & Body,person-gesture,709
🙅🏼‍♂️,man_gesturing_no_medium_light_skin_tone,1F645 1F3FC 200D 2642 FE0F,man gesturing no medium light skin tone,People & Body,person-gesture,710
🙅🏽‍♂️,man_gesturing_no_medium_skin_tone,1F645 1F3FD 200D 2642 FE0F,man gesturing no medium skin tone,People & Body,person-gesture,711
🙅🏾‍♂️,man_gesturing_no_medium_dark_skin_tone,1F645 1F3FE 200D 2642 FE0F,man gesturing no medium dark skin tone,People & Body,person-gesture,712
🙅🏿‍♂️,man_gesturing_no_dark_skin_tone,1F645 1F3FF 200D 2642 FE0F,man gesturing no dark skin tone,People & Body,person-gesture,713
🙅‍♀️,woman_gesturing_no,1F645 200D 2640 FE0F,woman gesturing no,People & Body,person-gesture,714
🙅🏻‍♀️,woman_gesturing_no_light_skin_tone,1F645 1F3FB 200D 2640 FE0F,woman gesturing no light skin tone,People & Body,person-gesture,715
🙅🏼‍♀️,woman_gesturing_no_medium_light_skin_tone,1F645 1F3FC 200D 2640 FE0F,woman gesturing no medium light skin tone,People & Body,person-gesture,716
🙅🏽‍♀️,woman_gesturing_no_medium_skin_tone,1F645 1F3FD 200D 2640 FE0F,woman gesturing no medium skin tone,People & Body,person-gesture,717
🙅🏾‍♀️,woman_gesturing_no_medium_dark_skin_tone,1F645 1F3FE 200D 2640 FE0F,woman gesturing no medium dark skin tone,People & Body,person-gesture,718
🙅🏿‍♀️,woman_gesturing_no_dark_skin_tone,1F645 1F3FF 200D 2640 FE0F,woman gesturing no dark skin tone,People & Body,person-gesture,719
🙆,person_gesturing_ok,1F646,person gesturing ok,People & Body,person-gesture,720
🙆🏻,person_gesturing_ok_light_skin_tone,1F646 1F3FB,person gesturing ok light skin tone,People & Body,person-gesture,721
🙆🏼,person_gesturing_ok_medium_light_skin_tone,1F646 1F3FC,person gesturing ok medium light skin tone,People & Body,person-gesture,722
🙆🏽,person_gesturing_ok_medium_skin_tone,1F646 1F3FD,person gesturing ok medium skin tone,People & Body,person-gesture,723
🙆🏾,person_gesturing_ok_medium_dark_skin_tone,1F646 1F3FE,person gesturing ok medium dark skin tone,People & Body,person-gesture,724
🙆🏿,person_gesturing_ok_dark_skin_tone,1F646 1F3FF,person gesturing ok dark skin tone,People & Body,person-gesture,725
🙆‍♂️,man_gesturing_ok,1F646 200D 2642 FE0F,man gesturing ok,People & Body,person-gesture,726
🙆🏻‍♂️,man_gesturing_ok_light_skin_tone,1F646 1F3FB 200D 2642 FE0F,man gesturing ok light skin tone,People & Body,person-gesture,727
🙆🏼‍♂️,man_gesturing_ok_medium_light_skin_tone,1F646 1F3FC 200D 2642 FE0F,man gesturing ok medium light skin tone,People & Body,person-gesture,728
🙆🏽‍♂️,man_gesturing_ok_medium_skin_tone,1F646 1F3FD 200D 2642 FE0F,man gesturing ok medium skin tone,People & Body,person-gesture,729
🙆🏾‍♂️,man_gesturing_ok_medium_dark_skin_tone,1F646 1F3FE 200D 2642 FE0F,man gesturing ok medium dark skin tone,People & Body,person-gesture,730
🙆🏿‍♂️,man_gesturing_ok_dark_skin_tone,1F646 1F3FF 200D 2642 FE0F,man gesturing ok dark skin tone,People & Body,person-gesture,731
🙆‍♀️,woman_gesturing_ok,1F646 200D 2640 FE0F,woman gesturing ok,People & Body,person-gesture,732
🙆🏻‍♀️,woman_gesturing_ok_light_skin_tone,1F646 1F3FB 200D 2640 FE0F,woman gesturing ok light skin tone,People & Body,person-gesture,733
🙆🏼‍♀️,woman_gesturing_ok_medium_light_skin_tone,1F646 1F3FC 200D 2640 FE0F,woman gesturing ok medium light skin tone,People & Body,person-gesture,734
🙆🏽‍♀️,woman_gesturing_ok_medium_skin_tone,1F646 1F3FD 200D 2640 FE0F,woman gesturing ok medium skin tone,People & Body,person-gesture,735
🙆🏾‍♀️,woman_gesturing_ok_medium_dark_skin_tone,1F646 1F3FE 200D 2640 FE0F,woman gesturing ok medium dark skin tone,People & Body,person-gesture,736
🙆🏿‍♀️,woman_gesturing_ok_dark_skin_tone,1F646 1F3FF 200D 2640 FE0F,woman gesturing ok dark skin tone,People & Body,person-gesture,737
💁,person_tipping_hand,1F481,person tipping hand,People & Body,person-gesture,738
💁🏻,person_tipping_hand_light_skin_tone,1F481 1F3FB,person tipping hand light skin tone,People & Body,person-gesture,739
💁🏼,person_tipping_hand_medium_light_skin_tone,1F481 1F3FC,person tipping hand medium light skin tone,People & Body,person-gesture,740
💁🏽,person_tipping_hand_medium_skin_tone,1F481 1F3FD,person tipping hand medium skin tone,People & Body,person-gesture,741
💁🏾,person_tipping_hand_medium_dark_skin_tone,1F481 1F3FE,person tipping hand medium dark skin tone,People & Body,person-gesture,742
💁🏿,person_tipping_hand_dark_skin_tone,1F481 1F3FF,person tipping hand dark skin tone,People & Body,person-gesture,743
💁‍♂️,man_tipping_hand,1F481 200D 2642 FE0F,man tipping hand,People & Body,person-gesture,744
💁🏻‍♂️,man_tipping_hand_light_skin_tone,1F481 1F3FB 200D 2642 FE0F,man tipping hand light skin tone,People & Body,person-gesture,745
💁🏼‍♂️,man_tipping_hand_medium_light_skin_tone,1F481 1F3FC 200D 2642 FE0F,man tipping hand medium light skin tone,People & Body,person-gesture,746
💁🏽‍♂️,man_tipping_hand_medium_skin_tone,1F481 1F3FD 200D 2642 FE0F,man tipping hand medium skin tone,People & Body,person-gesture,747
💁🏾‍♂️,man_tipping_hand_medium_dark_skin_tone,1F481 1F3FE 200D 2642 FE0F,man tipping hand medium dark skin tone,People & Body,person-gesture,748
💁🏿‍♂️,man_tipping_hand_dark_skin_tone,1F481 1F3FF 200D 2642 FE0F,man tipping hand dark skin tone,People & Body,person-gesture,749
💁‍♀️,woman_tipping_hand,1F481 200D 2640 FE0F,woman tipping hand,People & Body,person-gesture,750
💁🏻‍♀️,woman_tipping_hand_light_skin_tone,1F481 1F3FB 200D 2640 FE0F,woman tipping hand light skin tone,People & Body,person-gesture,751
💁🏼‍♀️,woman_tipping_hand_medium_light_skin_tone,1F481 1F3FC 200D 2640 FE0F,woman tipping hand medium light skin tone,People & Body,person-gesture,752
💁🏽‍♀️,woman_tipping_hand_medium_skin_tone,1F481 1F3FD 200D 2640 FE0F,woman tipping hand medium skin tone,People & Body,person-gesture,753
💁🏾‍♀️,woman_tipping_hand_medium_dark_skin_tone,1F481 1F3FE 200D 2640 FE0F,woman tipping hand medium dark skin tone,People & Body,person-gesture,754
💁🏿‍♀️,woman_tipping_hand_dark_skin_tone,1F481 1F3FF 200D 2640 FE0F,woman tipping hand dark skin tone,People & Body,person-gesture,755
🙋,person_raising_hand,1F64B,person raising hand,People & Body,person-gesture,756
🙋🏻,person_raising_hand_light_skin_tone,1F64B 1F3FB,person raising hand light skin tone,People & Body,person-gesture,757
🙋🏼,person_raising_hand_medium_light_skin_tone,1F64B 1F3FC,person raising hand medium light skin tone,People & Body,person-gesture,758
🙋🏽,person_raising_hand_medium_skin_tone,1F64B 1F3FD,person raising hand medium skin tone,People & Body,person-gesture,759
🙋🏾,person_raising_hand_medium_dark_skin_tone,1F64B 1F3FE,person raising hand medium dark skin tone,People & Body,person-gesture,760
🙋🏿,person_raising_hand_dark_skin_tone,1F64B 1F3FF,person raising hand dark skin tone,People & Body,person-gesture,761
🙋‍♂️,man_raising_hand,1F64B 200D 2642 FE0F,man raising hand,People & Body,person-gesture,762
🙋🏻‍♂️,man_raising_hand_light_skin_tone,1F64B 1F3FB 200D 2642 FE0F,man raising hand light skin tone,People & Body,person-gesture,763
🙋🏼‍♂️,man_raising_hand_medium_light_skin_tone,1F64B 1F3FC 200D 2642 FE0F,man raising hand medium light skin tone,People & Body,person-gesture,764
🙋🏽‍♂️,man_raising_hand_medium_skin_tone,1F64B 1F3FD 200D 2642 FE0F,man raising hand medium skin tone,People & Body,person-gesture,765
🙋🏾‍♂️,man_raising_hand_medium_dark_skin_tone,1F64B 1F3FE 200D 2642 FE0F,man raising hand medium dark skin tone,People & Body,person-gesture,766
🙋🏿‍♂️,man_raising_hand_dark_skin_tone,1F64B 1F3FF 200D 2642 FE0F,man raising hand dark skin tone,People & Body,person-gesture,767
🙋‍♀️,woman_raising_hand,1F64B 200D 2640 FE0F,woman raising hand,People & Body,person-gesture,768
🙋🏻‍♀️,woman_raising_hand_light_skin_tone,1F64B 1F3FB 200D 2640 FE0F,woman raising hand light skin tone,People & Body,person-gesture,769
🙋🏼‍♀️,woman_raising_hand_medium_light_skin_tone,1F64B 1F3FC 200D 2640 FE0F,woman raising hand medium light skin tone,People & Body,person-gesture,770
🙋🏽‍♀️,woman_raising_hand_medium_skin_tone,1F64B 1F3FD 200D 2640 FE0F,woman raising hand medium skin tone,People & Body,person-gesture,771
🙋🏾‍♀️,woman_raising_hand_medium_dark_skin_tone,1F64B 1F3FE 200D 2640 FE0F,woman raising hand medium dark skin tone,People & Body,person-gesture,772
🙋🏿‍♀️,woman_raising_hand_dark_skin_tone,1F64B 1F3FF 200D 2640 FE0F,woman raising hand dark skin tone,People & Body,person-gesture,773
🧏,deaf_person,1F9CF,deaf person,People & Body,person-gesture,774
🧏🏻,deaf_person_light_skin_tone,1F9CF 1F3FB,deaf person light skin tone,People & Body,person-gesture,775
🧏🏼,deaf_person_medium_light_skin_tone,1F9CF 1F3FC,deaf person medium light skin tone,People & Body,person-gesture,776
🧏🏽,deaf_person_medium_skin_tone,1F9CF 1F3FD,deaf person medium skin tone,People & Body,person-gesture,777
🧏🏾,deaf_person_medium_dark_skin_tone,1F9CF 1F3FE,deaf person medium dark skin tone,People & Body,person-gesture,778
🧏🏿,deaf_person_dark_skin_tone,1F9CF 1F3FF,deaf person dark skin tone,People & Body,person-gesture,779
🧏‍♂️,deaf_man,1F9CF 200D 2642 FE0F,deaf man,People & Body,person-gesture,780
🧏🏻‍♂️,deaf_man_light_skin_tone,1F9CF 1F3FB 200D 2642 FE0F,deaf man light skin tone,People & Body,person-gesture,781
🧏🏼‍♂️,deaf_man_medium_light_skin_tone,1F9CF 1F3FC 200D 2642 FE0F,deaf man medium light skin tone,People & Body,person-gesture,782
🧏🏽‍♂️,deaf_man_medium_skin_tone,1F9CF 1F3FD 200D 2642 FE0F,deaf man medium skin tone,People & Body,person-gesture,783
🧏🏾‍♂️,deaf_man_medium_dark_skin_tone,1F9CF 1F3FE 200D 2642 FE0F,deaf man medium dark skin tone,People & Body,person-gesture,784
🧏🏿‍♂️,deaf_man_dark_skin_tone,1F9CF 1F3FF 200D 2642 FE0F,deaf man dark skin tone,People & Body,person-gesture,785
🧏‍♀️,deaf_woman,1F9CF 200D 2640 FE0F,deaf woman,People & Body,person-gesture,786
🧏🏻‍♀️,deaf_woman_light_skin_tone,1F9CF 1F3FB 200D 2640 FE0F,deaf woman light skin tone,People & Body,person-gesture,787
🧏🏼‍♀️,deaf_woman_medium_light_skin_tone,1F9CF 1F3FC 200D 2640 FE0F,deaf woman medium light skin tone,People & Body,person-gesture,788
🧏🏽‍♀️,deaf_woman_medium_skin_tone,1F9CF 1F3FD 200D 2640 FE0F,deaf woman medium skin tone,People & Body,person-gesture,789
🧏🏾‍♀️,deaf_woman_medium_dark_skin_tone,1F9CF 1F3FE 200D 2640 FE0F,deaf woman medium dark skin tone,People & Body,person-gesture,790
🧏🏿‍♀️,deaf_woman_dark_skin_tone,1F9CF 1F3FF 200D 2640 FE0F,deaf woman dark skin tone,People & Body,person-gesture,791
🙇,person_bowing,1F647,person bowing,People & Body,person-gesture,792
🙇🏻,person_bowing_light_skin_tone,1F647 1F3FB,person bowing light skin tone,People & Body,person-gesture,793
🙇🏼,person_bowing_medium_light_skin_tone,1F647 1F3FC,person bowing medium light skin tone,People & Body,person-gesture,794
🙇🏽,person_bowing_medium_skin_tone,1F647 1F3FD,person bowing medium skin tone,People & Body,person-gesture,795
🙇🏾,person_bowing_medium_dark_skin_tone,1F647 1F3FE,person bowing medium dark skin tone,People & Body,person-gesture,796
🙇🏿,person_bowing_dark_skin_tone,1F647 1F3FF,person bowing dark skin tone,People & Body,person-gesture,797
🙇‍♂️,man_bowing,1F647 200D 2642 FE0F,man bowing,People & Body,person-gesture,798
🙇🏻‍♂️,man_bowing_light_skin_tone,1F647 1F3FB 200D 2642 FE0F,man bowing light skin tone,People & Body,person-gesture,799
🙇🏼‍♂️,man_bowing_medium_light_skin_tone,1F647 1F3FC 200D 2642 FE0F,man bowing medium light skin tone,People & Body,person-gesture,800
🙇🏽‍♂️,man_bowing_medium_skin_tone,1F647 1F3FD 200D 2642 FE0F,man bowing medium skin tone,People & Body,person-gesture,801
🙇🏾‍♂️,man_bowing_medium_dark_skin_tone,1F647 1F3FE 200D 2642 FE0F,man bowing medium dark skin tone,People & Body,person-gesture,802
🙇🏿‍♂️,man_bowing_dark_skin_tone,1F647 1F3FF 200D 2642 FE0F,man bowing dark skin tone,People & Body,person-gesture,803
🙇‍♀️,woman_bowing,1F647 200D 2640 FE0F,woman bowing,People & Body,person-gesture,804
🙇🏻‍♀️,woman_bowing_light_skin_tone,1F647 1F3FB 200D 2640 FE0F,woman bowing light skin tone,People & Body,person-gesture,805
🙇🏼‍♀️,woman_bowing_medium_light_skin_tone,1F647 1F3FC 200D 2640 FE0F,woman bowing medium light skin tone,People & Body,person-gesture,806
🙇🏽‍♀️,woman_bowing_medium_skin_tone,1F647 1F3FD 200D 2640 FE0F,woman bowing medium skin tone,People & Body,person-gesture,807
🙇🏾‍♀️,woman_bowing_medium_dark_skin_tone,1F647 1F3FE 200D 2640 FE0F,woman bowing medium dark skin tone,People & Body,person-gesture,808
🙇🏿‍♀️,woman_bowing_dark_skin_tone,1F647 1F3FF 200D 2640 FE0F,woman bowing dark skin tone,People & Body,person-gesture,809
🤦,person_facepalming,1F926,person facepalming,People & Body,person-gesture,810
🤦🏻,person_facepalming_light_skin_tone,1F926 1F3FB,person facepalming light skin tone,People & Body,person-gesture,811
🤦🏼,person_facepalming_medium_light_skin_tone,1F926 1F3FC,person facepalming medium light skin tone,People & Body,person-gesture,812
🤦🏽,person_facepalming_medium_skin_tone,1F926 1F3FD,person facepalming medium skin tone,People & Body,person-gesture,813
🤦🏾,person_facepalming_medium_dark_skin_tone,1F926 1F3FE,person facepalming medium dark skin tone,People & Body,person-gesture,814
🤦🏿,person_facepalming_dark_skin_tone,1F926 1F3FF,person facepalming dark skin tone,People & Body,person-gesture,815
🤦‍♂️,man_facepalming,1F926 200D 2642 FE0F,man facepalming,People & Body,person-gesture,816
🤦🏻‍♂️,man_facepalming_light_skin_tone,1F926 1F3FB 200D 2642 FE0F,man facepalming light skin tone,People & Body,person-gesture,817
🤦🏼‍♂️,man_facepalming_medium_light_skin_tone,1F926 1F3FC 200D 2642 FE0F,man facepalming medium light skin tone,People & Body,person-gesture,818
🤦🏽‍♂️,man_facepalming_medium_skin_tone,1F926 1F3FD 200D 2642 FE0F,man facepalming medium skin tone,People & Body,person-gesture,819
🤦🏾‍♂️,man_facepalming_medium_dark_skin_tone,1F926 1F3FE 200D 2642 FE0F,man facepalming medium dark skin tone,People & Body,person-gesture,820
🤦🏿‍♂️,man_facepalming_dark_skin_tone,1F926 1F3FF 200D 2642 FE0F,man facepalming dark skin tone,People & Body,person-gesture,821
🤦‍♀️,woman_facepalming,1F926 200D 2640 FE0F,woman facepalming,People & Body,person-gesture,822
🤦🏻‍♀️,woman_facepalming_light_skin_tone,1F926 1F3FB 200D 2640 FE0F,woman facepalming light skin tone,People & Body,person-gesture,823
🤦🏼‍♀️,woman_facepalming_medium_light_skin_tone,1F926 1F3FC 200D 2640 FE0F,woman facepalming medium light skin tone,People & Body,person-gesture,824
🤦🏽‍♀️,woman_facepalming_medium_skin_tone,1F926 1F3FD 200D 2640 FE0F,woman facepalming medium skin tone,People & Body,person-gesture,825
🤦🏾‍♀️,woman_facepalming_medium_dark_skin_tone,1F926 1F3FE 200D 2640 FE0F,woman facepalming medium dark skin tone,People & Body,person-gesture,826
🤦🏿‍♀️,woman_facepalming_dark_skin_tone,1F926 1F3FF 200D 2640 FE0F,woman facepalming dark skin tone,People & Body,person-gesture,827
🤷,person_shrugging,1F937,person shrugging,People & Body,person-gesture,828
🤷🏻,person_shrugging_light_skin_tone,1F937 1F3FB,person shrugging light skin tone,People & Body,person-gesture,829
🤷🏼,person_shrugging_medium_light_skin_tone,1F937 1F3FC,person shrugging medium light skin tone,People & Body,person-gesture,830
🤷🏽,person_shrugging_medium_skin_tone,1F937 1F3FD,person shrugging medium skin tone,People & Body,person-gesture,831
🤷🏾,person_shrugging_medium_dark_skin_tone,1F937 1F3FE,person shrugging medium dark skin tone,People & Body,person-gesture,832
🤷🏿,person_shrugging_dark_skin_tone,1F937 1F3FF,person shrugging dark skin tone,People & Body,person-gesture,833
🤷‍♂️,man_shrugging,1F937 200D 2642 FE0F,man shrugging,People & Body,person-gesture,834
🤷🏻‍♂️,man_shrugging_light_skin_tone,1F937 1F3FB 200D 2642 FE0F,man shrugging light skin tone,People & Body,person-gesture,835
🤷🏼‍♂️,man_shrugging_medium_light_skin_tone,1F937 1F3FC 200D 2642 FE0F,man shrugging medium light skin tone,People & Body,person-gesture,836
🤷🏽‍♂️,man_shrugging_medium_skin_tone,1F937 1F3FD 200D 2642 FE0F,man shrugging medium skin tone,People & Body,person-gesture,837
